Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,_id,_rev,row
22,37,Tatuapé,-23.5402,-46.5765,31,67213,39,23,23,NORMAL,12,2018-8-18,31,000ac62b7850525df9febd4a679df198,1-e7fbbe7fc80faf243d10f589a836b8c8,5988
23,16,Tamanduateí,-23.5929,-46.5897,16,52427,65,74,16,REABASTECER,5,2019-7-26,13,000ac62b7850525df9febd4a679fbc41,1-77e9e2a2247b4b1a44525b33a798049e,3446
43,15,Tatuapé,-23.5402,-46.5765,15,67518,38,61,19,NORMAL,6,2018-9-21,65,000ac62b7850525df9febd4a67a0afbe,1-78a4b45d603702e9e259dbd1b3aff7d7,6021
28,29,Barra Funda,-23.5542,-46.6707,17,149283,52,57,25,NORMAL,20,2019-4-22,27,000ac62b7850525df9febd4a67a3c37d,1-6458de63449f493171618431fb7d7b4d,5512
23,43,Tatuapé,-23.5402,-46.5765,37,70324,9,5,25,NORMAL,15,2019-1-15,49,000ac62b7850525df9febd4a67a8b0e5,1-f3e3469e66674cde79ee8426c83a1be3,6135
2,18,Sé,-23.55,-46.6333,38,193690,52,42,34,REABASTECER,9,2018-2-27,65,000ac62b7850525df9febd4a67aed399,1-ce5643e62f03e542ec64c2d7d44e8999,3657
8,42,Barra Funda,-23.5542,-46.6707,33,148828,34,39,25,NORMAL,19,2019-9-29,0,000ac62b7850525df9febd4a67aefd27,1-b5e71e92204c1dee7141cefe7b78ca83,5669
37,43,Sé,-23.55,-46.6333,40,193073,65,26,33,NORMAL,40,2018-6-17,55,000ac62b7850525df9febd4a67b67199,1-b5641bff1e842378bfbaab3bd75df5ce,3767
4,11,Tatuapé,-23.5402,-46.5765,36,70138,22,35,10,REABASTECER,24,2018-4-12,65,000ac62b7850525df9febd4a67bc2edb,1-ae7cdafc77060486c619c8b94d837898,5862
38,43,República,-23.5436,-46.6434,39,107554,34,10,43,REABASTECER,37,2018-2-25,37,000ac62b7850525df9febd4a67c496ce,1-845a6988c8f1586d2cc83bde5c299f7d,6535
17,33,Sé,-23.55,-46.6333,43,192024,23,19,43,NORMAL,7,2019-1-16,65,000ac62b7850525df9febd4a67c65515,1-53e836a43f8d839d573fec20978812c4,3976
38,39,Sé,-23.55,-46.6333,19,191994,11,51,41,NORMAL,10,2019-5-9,56,000ac62b7850525df9febd4a67cf198b,1-b1317f9d50951b9283a2cae99cfd5d64,4089
39,41,República,-23.5436,-46.6434,39,110295,15,44,27,NORMAL,24,2018-7-18,41,000ac62b7850525df9febd4a67cf9155,1-a3c41bc297bd86b2c3cda71e35aef279,6678
4,30,República,-23.5436,-46.6434,39,108543,13,78,43,NORMAL,22,2018-8-20,5,000ac62b7850525df9febd4a67d19118,1-cb6e161a70510aa6aa70f568a87e63fb,6710
10,21,Sé,-23.55,-46.6333,15,193566,17,20,23,NORMAL,26,2019-8-28,65,000ac62b7850525df9febd4a67d632a2,1-715a1bfd75308c8730038367ec40cfa2,4198
14,41,Tatuapé,-23.5402,-46.5765,43,70565,51,74,43,REABASTECER,6,2019-4-21,61,000ac62b7850525df9febd4a67d6e674,1-0e54d84bf4c5e73789437ceba21c9040,6231
41,36,Tatuapé,-23.5402,-46.5765,34,67533,65,86,20,NORMAL,25,2019-5-7,4,000ac62b7850525df9febd4a67d838ce,1-a04e4a95cdbfbe77e55ae48a6a1edcc2,6247
17,8,Sé,-23.55,-46.6333,23,193815,65,47,29,REABASTECER,5,2019-9-28,59,000ac62b7850525df9febd4a67d86627,1-ef634169024ad6dc9b30ee97145d47c6,4228
33,5,República,-23.5436,-46.6434,33,109306,31,25,6,REABASTECER,6,2018-12-12,65,000ac62b7850525df9febd4a67d8a0f0,1-0a62c85b45800d6cdabfa56976b778e2,6822
17,38,Tatuapé,-23.5402,-46.5765,15,68421,37,20,20,NORMAL,16,2019-10-17,13,000ac62b7850525df9febd4a67e31737,1-4fb652723b4746d3bd2cf6a2684ded87,6407
37,3,República,-23.5436,-46.6434,4,109535,45,57,38,REABASTECER,35,2018-1-14,43,000ac62b7850525df9febd4a67e99583,1-134af91d9f0a9978f1ae3550fae3c174,6494
20,8,Brás,-23.5451,-46.6162,22,73820,21,67,27,NORMAL,18,2018-6-3,6,000ac62b7850525df9febd4a67eaff46,1-42747f726939c14043c318b61bf1c471,4473
34,30,Brás,-23.5451,-46.6162,10,71967,16,9,20,NORMAL,32,2018-7-23,4,000ac62b7850525df9febd4a67ef3def,1-a3a53d1a41447f961c3da3456c39fb24,4523
5,43,Brás,-23.5451,-46.6162,43,71235,17,16,8,REABASTECER,29,2018-11-6,41,000ac62b7850525df9febd4a67f72a17,1-3784a546384a07d51726f923ae3ef138,4626
14,23,Higienópolis-Mackenzie,-23.5488,-46.6519,33,90127,21,55,43,NORMAL,16,2018-1-30,60,000ac62b7850525df9febd4a67f79916,1-ee74f6bed96147bfb0066038e8f90c47,7230
25,6,Trianon-Masp,-23.5634,-46.6544,37,44442,49,48,35,NORMAL,36,2018-1-14,36,0058287584745931a602d2350a00c87f,1-482b08a3ac0b0a806a0fe6a27a71ca14,1454
22,29,Moema,-23.5489,-46.6388,14,20370,5,64,24,REABASTECER,29,2018-4-10,0,0058287584745931a602d2350a010c13,1-a53c99cf48dac409b7141afacdd5cb55,16660
19,36,Moema,-23.5489,-46.6388,9,19513,57,35,20,NORMAL,17,2018-4-23,38,0058287584745931a602d2350a0208c4,1-bbd9d825fcd9350e5257388251862547,16673
13,31,Moema,-23.5489,-46.6388,24,17639,11,19,32,NORMAL,24,2018-5-12,33,0058287584745931a602d2350a0359d4,1-05f9d2518c575d9b4589ce529ee8f838,16692
15,5,Consolação,-23.5581,-46.6606,43,112836,37,57,14,REABASTECER,37,2018-4-9,57,0058287584745931a602d2350a143b30,1-50f53b57372a18b857496cc138c5d9ca,2259
38,5,Hospital São Paulo,-23.5984,-46.6455,5,24899,41,67,30,REABASTECER,15,2019-12-7,19,0058287584745931a602d2350a1b840f,1-e27efd782bfbec90cd8d6c7a3698648e,16993
33,43,Trianon-Masp,-23.5634,-46.6544,17,44223,65,62,18,NORMAL,13,2019-3-6,59,0058287584745931a602d2350a208937,1-a541fc8c510b1c9549a74275a3bda65c,1866
31,43,Consolação,-23.5581,-46.6606,33,114650,47,30,43,NORMAL,43,2019-4-8,61,0058287584745931a602d2350a2e07fd,1-0c701aba32fd436486eff94a882d7d44,2618
22,19,Consolação,-23.5581,-46.6606,25,114473,28,27,17,NORMAL,31,2018-4-30,32,0058287584745931a602d2350a3ef6bf,1-6df35e72932699835bdeeb4c59d01ac9,2280
33,7,Consolação,-23.5581,-46.6606,16,114307,54,52,26,NORMAL,14,2019-12-27,33,0058287584745931a602d2350a429518,1-5a590fd68b8d356afe295f26f2fe916b,2877
20,20,Tamanduateí,-23.5929,-46.5897,26,52013,39,34,25,NORMAL,23,2018-1-6,33,0058287584745931a602d2350a433bbf,1-1ed26150f8b42aaba800464e44334ecf,2886
18,12,Consolação,-23.5581,-46.6606,37,112460,13,34,12,REABASTECER,3,2018-10-25,43,0058287584745931a602d2350a4bdf19,1-1dbe0e3f425c21456aacfa5d24c16b24,2455
34,31,Consolação,-23.5581,-46.6606,32,115289,46,15,35,NORMAL,29,2018-11-23,65,0058287584745931a602d2350a4df4b8,1-23001ac249da5f5b7c5bf6235f347f82,2483
33,43,Tamanduateí,-23.5929,-46.5897,42,53419,45,41,39,NORMAL,30,2018-7-15,47,0058287584745931a602d2350a519eb5,1-2cb35c99ce286e133d715274114ef6ec,3075
9,20,Tamanduateí,-23.5929,-46.5897,6,53210,21,1,18,NORMAL,32,2018-8-22,36,0058287584745931a602d2350a546887,1-13add771fcdeb6c9de98b8c66de938ee,3112
5,38,Brigadeiro,-23.5683,-46.6482,24,46599,39,58,22,NORMAL,15,2018-6-20,18,0058287584745931a602d2350a60132a,1-c329d2a090c7de9f41913767b965e872,890
6,21,Brigadeiro,-23.5683,-46.6482,22,46088,30,79,2,REABASTECER,12,2018-8-13,61,0058287584745931a602d2350a64bc45,1-2d6fc72baa09b4fe7227da1ff012725f,943
15,16,Consolação,-23.5581,-46.6606,24,112424,37,45,5,REABASTECER,37,2019-12-10,17,0058287584745931a602d2350a68131e,1-2c30cb422afed611cf291444003d1b39,2860
7,25,Brigadeiro,-23.5683,-46.6482,38,45993,33,66,38,NORMAL,20,2018-11-14,24,0058287584745931a602d2350a6b4218,1-2a01f9e847d5d6ed26d6ed9f91569ec1,1034
16,11,Brigadeiro,-23.5683,-46.6482,39,49610,41,17,12,NORMAL,26,2018-12-25,65,0058287584745931a602d2350a6f62f5,1-a03894d377597447f3f0e43dddb9fc20,1075
43,19,Tamanduateí,-23.5929,-46.5897,30,50416,3,10,32,NORMAL,10,2019-12-7,15,0058287584745931a602d2350a744aa5,1-accfab48e24acb882fcb5692830b8393,3577
15,43,Tamanduateí,-23.5929,-46.5897,20,50776,3,35,5,NORMAL,39,2018-6-22,8,0058287584745931a602d2350a7557b7,1-de3ec8138299b31a564aa9dcdf1b6164,3052
22,34,Brigadeiro,-23.5683,-46.6482,3,49428,7,86,11,REABASTECER,30,2019-4-13,40,0058287584745931a602d2350a77d40f,1-b869e7931a46e3825010e722abfb8329,1183
37,7,Brigadeiro,-23.5683,-46.6482,7,46303,2,70,11,REABASTECER,17,2019-6-27,36,0058287584745931a602d2350a7da8fa,1-a06e586445ae64e25fc91e9b04abc36e,1257
43,38,Trianon-Masp,-23.5634,-46.6544,36,45643,40,20,5,REABASTECER,28,2018-8-11,19,0058287584745931a602d2350a9954b8,1-c61d8d44b092ce36c1adfc9e7edffb14,1661
22,7,Sé,-23.55,-46.6333,15,192550,19,86,9,NORMAL,9,2018-10-15,41,0058287584745931a602d2350ab097d8,1-a241da3508efc1a41d67c9bbe3aa3dfd,3885
9,43,Sé,-23.55,-46.6333,7,194921,7,59,41,NORMAL,43,2018-10-18,16,0058287584745931a602d2350ab0ceef,1-1211fb8724d644dbc677f7282dc78a3a,3888
43,7,Brás,-23.5451,-46.6162,18,73264,50,63,43,NORMAL,14,2018-5-6,51,0058287584745931a602d2350ab21d4a,1-83fabae155f49f700ba4ce08061c03e4,4446
35,43,Brás,-23.5451,-46.6162,29,72565,3,45,3,REABASTECER,21,2018-8-16,50,0058287584745931a602d2350abad380,1-99551331a83ced3301725583e6d7ec83,4546
27,37,Trianon-Masp,-23.5634,-46.6544,16,44384,10,50,28,REABASTECER,6,2019-10-20,15,0058287584745931a602d2350abe0153,1-ad3f920ac5e8e43e6fa80f8e4dc2e093,2090
21,6,Brás,-23.5451,-46.6162,20,73883,45,13,34,REABASTECER,36,2018-12-3,65,0058287584745931a602d2350ac35213,1-241ee6541b8d3636ff9c18fbbe0b5bb3,4653
16,8,Brás,-23.5451,-46.6162,43,74164,41,77,36,NORMAL,38,2019-2-6,24,0058287584745931a602d2350ac7c1c3,1-23670ba859499f4acb4927ff9ba85df3,4716
33,43,Brás,-23.5451,-46.6162,6,71733,45,16,39,REABASTECER,14,2019-5-27,49,0058287584745931a602d2350ad03ca7,1-1e32a54cfb1e65d3762529ea9a2636bc,4827
34,42,Brás,-23.5451,-46.6162,43,72521,65,51,41,NORMAL,37,2018-1-13,43,0058287584745931a602d2350ad46a55,1-ee0edda5803271826ebcb7338fa7f2f2,4333
28,5,Brás,-23.5451,-46.6162,28,71142,26,47,31,REABASTECER,22,2018-7-3,65,0058287584745931a602d2350adf61cf,1-b6d065e6f80d7d528e614ea2b0927782,4503
23,10,Brás,-23.5451,-46.6162,41,72952,13,50,30,NORMAL,43,2018-9-11,22,0058287584745931a602d2350ae49b3e,1-73847684e6b5d226c9e577994c3b6d44,4571
40,22,Barra Funda,-23.5542,-46.6707,6,149399,15,86,31,REABASTECER,43,2018-5-20,19,0058287584745931a602d2350ae90be0,1-4c2d94df3fa91add0fbdd71c32c7829c,5180
43,43,Tamanduateí,-23.5929,-46.5897,14,52791,56,46,24,NORMAL,29,2018-3-9,65,0058287584745931a602d2350afe3b11,1-eec3a434a8f6d4529241f95e02b71f68,2949
10,8,Sé,-23.55,-46.6333,11,191940,22,65,9,NORMAL,12,2018-6-13,10,00a236e7cdc1b52bc70cd23b2404c80b,1-83c51aa9cebc67b9afb184467ff39067,3763
22,30,Sé,-23.55,-46.6333,28,193752,43,46,37,REABASTECER,5,2019-2-29,36,00a236e7cdc1b52bc70cd23b24058a96,1-f4c8df969e4eaa4e829220b16cc3549e,4019
7,22,Sé,-23.55,-46.6333,14,192250,34,34,14,NORMAL,19,2019-5-27,57,00a236e7cdc1b52bc70cd23b240ba6cc,1-f4be0bd5ede35c20fcdabc0bf4c1f668,4107
26,33,Sé,-23.55,-46.6333,30,191606,35,65,12,NORMAL,16,2018-12-22,27,00a236e7cdc1b52bc70cd23b24125ebd,1-3a23a497377f7c725a445db58ffba8a8,3952
9,25,Brás,-23.5451,-46.6162,43,70517,60,17,12,NORMAL,6,2018-6-27,39,00a236e7cdc1b52bc70cd23b2413289e,1-89c81fe47bc9f1a70c8bbe6276d64cda,4497
37,40,Brás,-23.5451,-46.6162,15,71802,65,66,8,NORMAL,25,2018-8-5,61,00a236e7cdc1b52bc70cd23b2415ca32,1-fa75427bfb10b18f75e2be32b45d3763,4535
12,23,Sé,-23.55,-46.6333,24,193632,35,28,26,NORMAL,38,2019-3-1,19,00a236e7cdc1b52bc70cd23b2417515b,1-264f8dfbf92b62d326877e72185067f5,4021
23,34,Brás,-23.5451,-46.6162,33,70814,37,6,34,REABASTECER,43,2018-10-11,21,00a236e7cdc1b52bc70cd23b241acd1d,1-bcfc4be3d18d3186d2fbc26c06565ac7,4601
9,33,Sé,-23.55,-46.6333,25,192251,43,21,18,NORMAL,32,2019-4-25,42,00a236e7cdc1b52bc70cd23b241b94f3,1-4ffe890779c41435f86752dbb4ee4dc0,4075
32,13,Brás,-23.5451,-46.6162,30,72611,54,32,41,NORMAL,43,2018-12-1,16,00a236e7cdc1b52bc70cd23b241ef0b4,1-b5609a06622099a633de941d7a9c5fff,4651
21,13,Brás,-23.5451,-46.6162,35,71006,10,15,16,NORMAL,33,2018-5-2,7,00a236e7cdc1b52bc70cd23b24242db3,1-48149c5ad665c2533b33507fd0631f6d,4442
35,37,Sé,-23.55,-46.6333,35,193330,50,79,8,NORMAL,9,2019-8-22,35,00a236e7cdc1b52bc70cd23b2424ddde,1-d40a7a999eee878b0c16ad4af73a7593,4192
26,43,Brás,-23.5451,-46.6162,43,74255,65,32,21,REABASTECER,6,2019-3-16,17,00a236e7cdc1b52bc70cd23b2426957b,1-41f8d674a351924e6a06e352ef6e8470,4756
17,27,Brás,-23.5451,-46.6162,28,71155,58,59,28,NORMAL,31,2019-7-15,37,00a236e7cdc1b52bc70cd23b24314044,1-0081210c7231d6f0933db2fc57382915,4875
10,40,Brás,-23.5451,-46.6162,20,73299,42,86,36,REABASTECER,17,2019-8-18,4,00a236e7cdc1b52bc70cd23b24339be8,1-a2813faa6860cff9899a2d2f1c98d7b1,4908
11,31,Brás,-23.5451,-46.6162,32,71279,61,60,3,NORMAL,18,2018-3-12,32,00a236e7cdc1b52bc70cd23b243550d0,1-e20d2100ab05f7aa3d1a9350b4387ade,4392
28,17,Brás,-23.5451,-46.6162,11,73238,55,13,5,NORMAL,8,2019-2-3,38,00a236e7cdc1b52bc70cd23b2439f0b1,1-515d7f8d1dfe36490f72d254315e988a,4713
32,41,Brás,-23.5451,-46.6162,39,70755,58,56,14,NORMAL,14,2019-3-5,14,00a236e7cdc1b52bc70cd23b243c6abb,1-67524fa168ca1b9c2c24ac5d751aa753,4745
12,25,Barra Funda,-23.5542,-46.6707,43,149407,21,47,10,NORMAL,43,2018-2-1,65,00a236e7cdc1b52bc70cd23b243f76ee,1-d3d509a0b6cd9d7f825bdcd003318548,5071
4,21,Brás,-23.5451,-46.6162,17,71478,65,46,10,REABASTECER,29,2018-10-16,56,00a236e7cdc1b52bc70cd23b2445b1c9,1-1c7e9303b6c69e2f704acb7189cd0369,4606
13,23,Brás,-23.5451,-46.6162,7,73009,17,86,12,NORMAL,23,2018-11-26,48,00a236e7cdc1b52bc70cd23b244883f0,1-f728e1eecee44ff45855f4927d75e11c,4646
26,16,Brás,-23.5451,-46.6162,40,72794,59,6,4,NORMAL,27,2019-8-26,1,00a236e7cdc1b52bc70cd23b2448bcbb,1-e21027dc90937b2abde3402021a1ac50,4916
32,34,Brás,-23.5451,-46.6162,43,70803,56,86,4,REABASTECER,25,2019-9-6,65,00a236e7cdc1b52bc70cd23b2449ada0,1-6ce0cb883616c44cb15c3bee54f0408f,4926
5,22,Brás,-23.5451,-46.6162,15,72927,16,62,25,NORMAL,4,2019-9-24,13,00a236e7cdc1b52bc70cd23b244ae0eb,1-47d218b5674768126cc4fa648ca71169,4944
29,39,Brás,-23.5451,-46.6162,37,72580,55,39,8,NORMAL,43,2019-1-23,43,00a236e7cdc1b52bc70cd23b244ca749,1-53a790b14b74f28325da4702aaced824,4703
43,28,Barra Funda,-23.5542,-46.6707,29,147750,40,21,43,NORMAL,26,2018-8-25,11,00a236e7cdc1b52bc70cd23b244dd49f,1-63b57dffcb04e88dd70f400e9eb00fde,5275
38,25,Barra Funda,-23.5542,-46.6707,28,147715,31,10,37,REABASTECER,21,2018-8-26,1,00a236e7cdc1b52bc70cd23b244de467,1-a0767462587e9318d8d78f072bdd5bbe,5276
17,29,Brás,-23.5451,-46.6162,29,71741,3,53,24,REABASTECER,36,2019-6-2,8,00a236e7cdc1b52bc70cd23b24569bff,1-ddfb389ccfcca8182181a8799535163b,4832
15,11,Barra Funda,-23.5542,-46.6707,30,150050,21,14,10,NORMAL,10,2018-12-30,28,00a236e7cdc1b52bc70cd23b24576791,1-d668cd41fef9936368c64621db2e8621,5400
3,33,Brás,-23.5451,-46.6162,14,71520,37,69,26,REABASTECER,10,2019-8-20,57,00a236e7cdc1b52bc70cd23b245c6c4a,1-057efeed4e7d66363585b367e1552625,4910
30,21,Barra Funda,-23.5542,-46.6707,8,148603,56,32,21,REABASTECER,3,2018-9-11,23,00a236e7cdc1b52bc70cd23b2464f08f,1-1e884bce9b953247108add2bca2f8071,5291
26,36,Tatuapé,-23.5402,-46.5765,27,69392,50,37,36,NORMAL,25,2018-2-27,61,00a236e7cdc1b52bc70cd23b2476e13c,1-d4c9fb37ed1ba5ec6b2fb750a6aa88ac,5817
27,25,Tatuapé,-23.5402,-46.5765,22,67421,65,31,32,NORMAL,23,2018-9-6,34,00a236e7cdc1b52bc70cd23b24a4b9be,1-98d2882b49a378faeefd40880c6b4e83,6006
21,17,Barra Funda,-23.5542,-46.6707,33,148167,16,79,28,NORMAL,28,2019-3-8,17,00a236e7cdc1b52bc70cd23b24a75686,1-9cfe2f8cb2b86d5cefbb603143723ad5,5468
5,43,Barra Funda,-23.5542,-46.6707,43,147115,20,33,29,REABASTECER,5,2019-6-11,6,00a236e7cdc1b52bc70cd23b24ae84d1,1-be1a7fb00033d8bec2f7bf514ebfead2,5561
34,43,Tatuapé,-23.5402,-46.5765,7,70594,65,60,11,NORMAL,31,2018-6-22,13,00a236e7cdc1b52bc70cd23b24b46182,1-1e30e1640a8c619560b0abdd77cb89fa,5932
8,29,Barra Funda,-23.5542,-46.6707,13,150382,51,74,26,REABASTECER,20,2019-12-2,9,00a236e7cdc1b52bc70cd23b24bb6396,1-f976d6fc41ac0a4062bb805a377c6948,5732
43,38,Tatuapé,-23.5402,-46.5765,7,70622,63,34,27,REABASTECER,4,2018-6-8,65,00a236e7cdc1b52bc70cd23b24cabb43,1-90a18e1310c84117f07ae31e2e981e3a,5918
9,26,Tatuapé,-23.5402,-46.5765,21,70523,4,19,18,REABASTECER,8,2018-12-25,40,00a236e7cdc1b52bc70cd23b24d8f0d7,1-f59e2ddfb6733986ee04f60ecb94e01b,6115
14,35,Tatuapé,-23.5402,-46.5765,24,70055,5,13,15,NORMAL,9,2019-1-5,48,00a236e7cdc1b52bc70cd23b24d9b276,1-72d905fbb88202fc7d5db01ebd77e7be,6125
21,38,Tatuapé,-23.5402,-46.5765,37,68428,31,18,43,NORMAL,38,2019-12-29,38,00a236e7cdc1b52bc70cd23b24dcfe06,1-3d885c286d40a3d081ea883016bfc320,6479
24,20,Tatuapé,-23.5402,-46.5765,32,69540,59,12,26,NORMAL,13,2019-2-18,22,00a236e7cdc1b52bc70cd23b24dd3eb4,1-a1dae767adf48d8b22302d7b47dfd5f8,6168
23,18,Tatuapé,-23.5402,-46.5765,28,67730,56,53,21,NORMAL,2,2019-2-30,10,00a236e7cdc1b52bc70cd23b24de4a62,1-dfb1a491ca55600f95c9ce92b2af32bb,6180
14,38,República,-23.5436,-46.6434,34,107325,21,19,21,NORMAL,19,2018-1-18,20,00a236e7cdc1b52bc70cd23b24de6b39,1-90adbf343b5f0120d66af9afd26f07d8,6498
15,6,República,-23.5436,-46.6434,41,107202,9,50,23,NORMAL,39,2019-1-7,44,00a236e7cdc1b52bc70cd23b24e36a58,1-107ceb13063450ea0e6fb73828f0d419,6847
22,20,República,-23.5436,-46.6434,18,110141,15,78,24,NORMAL,19,2018-4-1,46,00a236e7cdc1b52bc70cd23b24e457a8,1-949f96baa7173167d4115a3035af1408,6571
11,15,República,-23.5436,-46.6434,11,110220,44,32,18,REABASTECER,9,2019-4-7,8,00a236e7cdc1b52bc70cd23b24ea77e3,1-2fb45b7fba3134e8bf2823be76650a9f,6937
39,39,República,-23.5436,-46.6434,43,110416,53,86,25,NORMAL,16,2018-8-1,13,00a236e7cdc1b52bc70cd23b24edf258,1-7fd303f8f4b30c2904211bb0d95841e5,6691
43,39,República,-23.5436,-46.6434,15,108923,28,74,8,NORMAL,20,2018-11-20,30,00a236e7cdc1b52bc70cd23b24f65123,1-6e4b00976c9384c11803be416dfbeacf,6800
28,43,República,-23.5436,-46.6434,32,109681,21,18,43,NORMAL,43,2018-12-13,61,00a236e7cdc1b52bc70cd23b24f833fe,1-7af3e2eebbd2f4f982768a8708219033,6823
